district,P95_HI_adult,P95_ELCR_adult,P95_HI_child,P95_ELCR_child,P95_ELCR_child_ED_AT
Dhaka,21.56542774620328,0.009683054255481306,121.10349937038607,0.00466789137943052,0.054458732760022735
Chittagong,6.663347732213144,0.0029942951442597484,34.71327299304937,0.001337579464120522,0.015605093748072759
Rajshahi,3.166561231286713,0.0014214322332404678,18.151460990078807,0.0006992588812201647,0.00815802028090192
Khulna,15.677957877719315,0.0070309187772677135,84.31390482173417,0.0032462982878284936,0.03787348002466576
Barisal,32.05888754831625,0.014395427689211133,175.12496142356832,0.006745823888859346,0.07870127870335905
Sylhet,6.605225154256889,0.0029642743121581928,35.79471212538429,0.0013795314358671918,0.016094533418450574
Rangpur,1.8416451916526837,0.0008271198807595723,9.618298369322842,0.0003707102079610144,0.004324952426211836
Mymensingh,7.1913073392366975,0.003227278622435775,37.908129010013305,0.0014608257973842992,0.01704296763615016
Comilla,51.33839908331366,0.023033887440399255,259.5923675834967,0.01000006548980059,0.11666743071434021
Bogra,6.569588446862367,0.002951429867048944,33.266297294912235,0.0012824357603376153,0.014961750537272181
