district,C_reverse_km_mean_mgL,HI_adult,ELCR_adult,ELCR_ED_AT_adult,HI_child,ELCR_child,ELCR_ED_AT_child
Dhaka,0.04077642512077292,4.890955283053048,0.002188902434523123,0.002188902434523123,22.557029726069313,0.0008682898149235306,0.010130047840774526
Chittagong,0.03142691387559804,3.7695219724302267,0.0016870151831137558,0.0016870151831137558,17.384992146585898,0.0006692020978258705,0.00780735780796849
Rajshahi,0.007253333333333327,0.8700058644508011,0.00038936319073377593,0.00038936319073377593,4.012457078532342,0.00015445187847941714,0.0018019385822598667
Khulna,0.034912612323491694,4.187616378410171,0.001874129521754515,0.001874129521754515,19.31323875654179,0.0007434262715055529,0.008673306500898117
Barisal,0.09231951992753643,11.073325883305058,0.004955766017370775,0.004955766017370775,51.07005209833887,0.0019658442012581794,0.02293484901467876
Sylhet,0.022214160033514885,2.6644921189806854,0.0011924691493731738,0.0011924691493731738,12.288607123638846,0.00047302648152832284,0.0055186422844971
Rangpur,0.00807325581395331,0.9683520087340411,0.000433377110753337,0.000433377110753337,4.466028369140537,0.0001719112397853813,0.0020056311308294487
Mymensingh,0.015804629629629693,1.8956967550437598,0.0008484017951688692,0.0008484017951688692,8.742931713831299,0.0003365424726518055,0.003926328847604398
Comilla,0.14159475524475545,16.983676576987115,0.007600889571681906,0.007600889571681906,78.32852177824547,0.0030151069756965713,0.035176248049793336
Bogra,0.01756276595744661,2.1065775798192257,0.00094277958519788,0.00094277958519788,9.715511661474753,0.00037398008181369356,0.004363100954493091
