district,population,metric,deterministic,prob_mean,prob_P50,prob_P95,P95_over_deterministic
Dhaka,adult,HI,4.890955283053048,4.18838084460402,0.1415041543734834,21.56542774620328,4.409246557809794
Dhaka,adult,ELCR,0.002188902434523123,0.001879907050527485,6.350536646781247e-05,0.009683054255481306,4.423702995054171
Dhaka,child,HI,22.557029726069313,23.416430586041272,0.716181580230105,121.10349937038607,5.368769773372508
Dhaka,child,ELCR,0.0008682898149235306,0.0009021931391239963,2.757311346536606e-05,0.00466789137943052,5.3759600760048265
Chittagong,adult,HI,3.7695219724302267,1.8246615078488448,0.2297410929617673,6.663347732213144,1.7676903811538882
Chittagong,adult,ELCR,0.0016870151831137558,0.0008189634726958632,0.00010310469180123477,0.0029942951442597484,1.7749070513598588
Chittagong,child,HI,17.384992146585898,9.275554206496189,1.2069904573186454,34.71327299304937,1.9967379162645431
Chittagong,child,ELCR,0.0006692020978258705,0.0003573736161228779,4.649490515539777e-05,0.001337579464120522,1.9987675897402317
Rajshahi,adult,HI,0.8700058644508011,0.6376607599447361,0.0001649336837979097,3.166561231286713,3.639701018895583
Rajshahi,adult,ELCR,0.00038936319073377593,0.00028623100639501843,7.400213841672118e-08,0.0014214322332404678,3.650658991574684
Rajshahi,child,HI,4.012457078532342,3.4294893178751256,0.0011287414764963141,18.151460990078807,4.523776986224651
Rajshahi,child,ELCR,0.00015445187847941714,0.00013212945799762662,4.35195955796614e-08,0.0006992588812201647,4.527357569907125
Khulna,adult,HI,4.187616378410171,2.8746407654731154,0.09068619843076534,15.677957877719315,3.743885891398546
Khulna,adult,ELCR,0.001874129521754515,0.001290085537339436,4.0634670418253353e-05,0.0070309187772677135,3.7515650309406237
Khulna,child,HI,19.31323875654179,16.737978912477775,0.5218644187898233,84.31390482173417,4.365601538124999
Khulna,child,ELCR,0.0007434262715055529,0.0006448766416785442,2.0092481992359856e-05,0.0032462982878284936,4.366671467305344
Barisal,adult,HI,11.073325883305058,6.397414613738818,0.3796546091912346,32.05888754831625,2.895145314620473
Barisal,adult,ELCR,0.004955766017370775,0.0028712668162282824,0.00017022624308295962,0.014395427689211133,2.904783567011193
Barisal,child,HI,51.07005209833887,36.38645035332002,1.9047624480885996,175.12496142356832,3.429112644850122
Barisal,child,ELCR,0.0019658442012581794,0.0014019287658006828,7.339935300749485e-05,0.006745823888859346,3.4315150125029668
Sylhet,adult,HI,2.6644921189806854,1.475141197996738,0.3721815870815316,6.605225154256889,2.4789809311891493
Sylhet,adult,ELCR,0.0011924691493731738,0.0006621022285943269,0.000166854091460525,0.0029642743121581928,2.4858289321081184
Sylhet,child,HI,12.288607123638846,8.206326507091864,2.0396904053812133,35.79471212538429,2.912837212976577
Sylhet,child,ELCR,0.00047302648152832284,0.00031616824356665564,7.856824131230396e-05,0.0013795314358671918,2.9163936687223107
Rangpur,adult,HI,0.9683520087340411,0.36440868465034437,0.031158018613648517,1.8416451916526837,1.9018344311180062
Rangpur,adult,ELCR,0.000433377110753337,0.00016355669516492788,1.3957701241896485e-05,0.0008271198807595723,1.9085453759239719
Rangpur,child,HI,4.466028369140537,2.0008832513551402,0.17757652796493445,9.618298369322842,2.153658144176507
Rangpur,child,ELCR,0.0001719112397853813,7.709347522849378e-05,6.836896389602508e-06,0.0003707102079610144,2.156404714571422
Mymensingh,adult,HI,1.8956967550437598,1.3685291260792942,0.011402953340628852,7.1913073392366975,3.7934903460182876
Mymensingh,adult,ELCR,0.0008484017951688692,0.0006142394666090228,5.112700070265929e-06,0.003227278622435775,3.80395072336381
Mymensingh,child,HI,8.742931713831299,7.509836447436825,0.0574497868003067,37.908129010013305,4.335860126877432
Mymensingh,child,ELCR,0.0003365424726518055,0.0002893467354269326,2.2124174377307017e-06,0.0014608257973842992,4.340687776712518
Comilla,adult,HI,16.983676576987115,12.097150161149953,4.079069716707418,51.33839908331366,3.0228083330836153
Comilla,adult,ELCR,0.007600889571681906,0.005429547065132871,0.0018266321677436106,0.023033887440399255,3.030419955871346
Comilla,child,HI,78.32852177824547,63.18176861226852,20.550179669594765,259.5923675834967,3.314148686712411
Comilla,child,ELCR,0.0030151069756965713,0.00243418736428559,0.0007919437841515012,0.01000006548980059,3.3166536280160686
Bogra,adult,HI,2.1065775798192257,3.8282083818182007,0.04892305615512556,6.569588446862367,3.118607408432654
Bogra,adult,ELCR,0.00094277958519788,0.0017184039240132354,2.1949345534666996e-05,0.002951429867048944,3.1305619185946507
Bogra,child,HI,9.715511661474753,16.042191862718905,0.2477604320451232,33.266297294912235,3.4240396650260023
Bogra,child,ELCR,0.00037398008181369356,0.0006181351744604739,9.545116495481407e-06,0.0012824357603376153,3.4291552483709253
