district,population,P50_HI_r0,P50_HI_r1,P50_HI_r2,P50_HI_r3,P50_HI_r4,P95_ELCR_r0,P95_ELCR_r1,P95_ELCR_r2,P95_ELCR_r3,P95_ELCR_r4,P95_HI_r0,P95_HI_r1,P95_HI_r2,P95_HI_r3,P95_HI_r4,P_HI_gt_1_r0,P_HI_gt_1_r1,P_HI_gt_1_r2,P_HI_gt_1_r3,P_HI_gt_1_r4,P_HI_gt_2_r0,P_HI_gt_2_r1,P_HI_gt_2_r2,P_HI_gt_2_r3,P_HI_gt_2_r4,mean_HI_r0,mean_HI_r1,mean_HI_r2,mean_HI_r3,mean_HI_r4,mean_HI_cv_pct,P50_HI_cv_pct,P95_HI_cv_pct,P_HI_gt_1_cv_pct,P_HI_gt_2_cv_pct,P95_ELCR_cv_pct
Barisal,adult,0.3796546091912346,0.3590591111388875,0.34779994089197713,0.36004815587448064,0.36353937649580603,0.014395427689211133,0.01564163088531582,0.014093647668758395,0.014959066777698793,0.014136292066313807,32.05888754831625,34.82338165928123,31.406414771062938,33.32806459549787,31.523719719530835,0.412,0.405,0.4031,0.406,0.4062,0.3379,0.3304,0.3297,0.3309,0.3349,6.397414613738818,6.710946085962596,6.159459674689664,6.443587650692016,6.349324970481408,3.1023085655330065,3.17407404455112,4.426918262371432,0.8196049023661446,1.0560079671364044,4.473585132903003
Barisal,child,1.9047624480885996,2.286817194527662,1.8854514004102678,1.8337153363994827,2.0065689876317925,0.006745823888859346,0.007042996095354892,0.006671143615624636,0.006821190252140389,0.007316220090883541,175.12496142356832,182.7995111906202,173.1514269762355,177.17202955249434,190.0035888656529,0.5582,0.5653,0.5515,0.5477,0.557,0.4953,0.5112,0.4948,0.4936,0.5002,36.38645035332002,36.310713290155824,35.313689744297115,35.75504883002205,38.10988721732106,2.923920735249864,9.116328868378679,3.795390547813749,1.2114987247207138,1.454636195007453,3.783456839423
Bogra,adult,0.04892305615512556,0.0450531651153726,0.04848689600243597,0.052756415563270695,0.05017464282768561,0.002951429867048944,0.002703934386609601,0.0025530616956068084,0.003123629460860889,0.0026103058260777056,6.569588446862367,6.02474094345108,5.689159027327945,6.961573219554516,5.820726838203748,0.1553,0.1502,0.1488,0.1607,0.1529,0.1061,0.0982,0.1,0.1121,0.1024,3.8282083818182007,4.50945303227991,2.515695808114657,4.297096431395564,2.517073142766531,27.187149417306543,5.700199254573754,8.634589983766624,3.0607791521459697,5.321068992275727,8.658885299382112
Bogra,child,0.2477604320451232,0.25751206295018925,0.27388494962118914,0.2621101120638828,0.2568950322417328,0.0012824357603376153,0.0012680580743622504,0.001184108439357096,0.0012779947629385153,0.0011322645007467193,33.266297294912235,32.91721760129953,30.724851180883935,33.16661846809736,29.421861348232348,0.3238,0.3197,0.3295,0.3232,0.3228,0.2459,0.2405,0.2516,0.2386,0.2456,16.042191862718905,14.231281067763188,17.09203289202279,16.198101106967414,26.111689146156323,26.135259971302364,3.6651289284555726,5.43605709488807,1.0990710098378202,2.0897278569712348,5.4817462091033065
Chittagong,adult,0.2297410929617673,0.22104613426090847,0.2305973845555262,0.2241969874495971,0.22579670253140918,0.0029942951442597484,0.0029512433160296795,0.00285630541524017,0.002766336279628164,0.002910965034732293,6.663347732213144,6.590694195088805,6.361999112043837,6.161167491919258,6.491872766632222,0.2321,0.2319,0.2345,0.2387,0.2335,0.1425,0.141,0.1422,0.1422,0.1401,1.8246615078488448,2.027689954398593,1.7863847481960717,1.730233094032361,1.918635526405018,6.314731727548392,1.7481005819313005,3.081080897630486,1.1795863224364247,0.718467159229369,3.0559687245172853
Chittagong,child,1.2069904573186454,1.1913175919985532,1.2458144302789398,1.1784001821698789,1.168518297884778,0.001337579464120522,0.0013282501560560695,0.0014880458717785074,0.0013473100589316395,0.0013182786806770572,34.71327299304937,34.44845953783366,38.59982271991028,34.955870585303515,34.22382429421064,0.5375,0.5369,0.5403,0.5322,0.5298,0.4034,0.4,0.4127,0.4007,0.3977,9.275554206496189,11.337557096426087,10.46101085830689,10.34536933492285,9.562550010692467,7.97384382750562,2.5261749519726724,5.1325053965181135,0.7938989844066048,1.4503281990563774,5.149674980207754
Comilla,adult,4.079069716707418,3.840234173687737,3.980416833935764,3.859004092312336,3.90910051237187,0.023033887440399255,0.0216802162894518,0.021684771873918377,0.021484064911145285,0.022462194035380616,51.33839908331366,48.36380500964981,48.31122869246709,47.853271469861944,50.01473197364523,0.7229,0.7145,0.7085,0.7072,0.7096,0.6254,0.6128,0.6172,0.6072,0.6182,12.097150161149953,11.568452342577226,11.556172357135626,11.650935548454028,11.85200978907208,1.9561314138988117,2.4855090577962495,2.9706757268558386,0.9004181903556874,1.0953203454391496,2.97697676169095
Comilla,child,20.550179669594765,19.31809990439271,20.563480772281206,20.30033228967424,20.604110732490273,0.01000006548980059,0.01053285646019257,0.010773646443450365,0.010239398817246172,0.010461522389520899,259.5923675834967,273.5138311381401,279.47415936541796,265.69661709403135,271.8342881804418,0.8514,0.8521,0.8596,0.8524,0.8613,0.801,0.8017,0.8079,0.8021,0.8115,63.18176861226852,63.680277626989465,66.23826275154008,63.576421863506795,63.63615777917335,1.9235105952045712,2.6835827238704173,2.8222882736410293,0.5493891765040373,0.5755526635461137,2.830733835138627
Dhaka,adult,0.1415041543734834,0.142930603831447,0.1559189512037047,0.12616910845642382,0.1331160104283658,0.009683054255481306,0.009808932680813242,0.010244399785594672,0.00944939452979997,0.010006688295359625,21.56542774620328,21.84018081660441,22.838411041294595,21.06798051834571,22.305931849386045,0.3346,0.3362,0.3375,0.331,0.333,0.2684,0.2687,0.2677,0.2654,0.269,4.18838084460402,4.17131445901859,4.363753890210156,4.054027210894251,4.199343587863417,2.637449444457517,8.013382352824276,3.10234270499205,0.7680013265466358,0.5401435293864008,3.089145650303731
Dhaka,child,0.716181580230105,0.7442898357744814,0.7070170346292892,0.7421673376240687,0.6461716008581941,0.00466789137943052,0.004563498249789302,0.004680865822349528,0.004897188234163702,0.004687562300648396,121.10349937038607,118.44413049443014,121.44470850977473,127.16847493094718,121.69367158027072,0.4765,0.4782,0.4748,0.4772,0.4684,0.4223,0.4252,0.4196,0.4262,0.4103,23.416430586041272,24.44861363804631,24.574414790878535,23.84597578470207,23.126535928997125,2.639311103171315,5.591478077419075,2.6107027950167048,0.8216116150158224,1.514632582090981,2.585805980901675
