scenario,district,population,mean_HI,P50_HI,P95_HI,P_HI_gt_1,P_HI_gt_2,P95_ELCR,ratio_mean_HI,ratio_P50_HI,ratio_P95_HI,ratio_P_HI_gt_1,ratio_P_HI_gt_2,ratio_P95_ELCR,primary_mean_HI,primary_P50_HI,primary_P95_HI,primary_P_HI_gt_1,primary_P_HI_gt_2,primary_P95_ELCR
S1_barisal_lognormal,Barisal,adult,294.3931766948671,0.3001720989611608,100.80928925016038,0.3701,0.2971,0.04524802296304236,46.01752340119409,0.7906452119746611,3.1445036605911465,0.8983009708737865,0.8792542172240307,3.1432218576565227,6.397414613738818,0.3796546091912346,32.05888754831625,0.412,0.3379,0.014395427689211133
S1_barisal_lognormal,Barisal,child,633.1692573991573,1.5397783905268625,550.3294504190395,0.5511,0.471,0.02120932038850571,17.401237308144978,0.8083834244380483,3.1424957695663833,0.9872805446076676,0.9509388249545729,3.14406672008332,36.38645035332002,1.9047624480885996,175.12496142356832,0.5582,0.4953,0.006745823888859346
S2_bogra_gamma,Bogra,adult,0.7443159440117184,0.03570871300407287,3.725153247574727,0.1679,0.0991,0.001672431205587815,0.1944293177839517,0.7298953869694371,0.5670299254976708,1.0811332904056665,0.9340245051837888,0.5666511761839811,3.8282083818182007,0.04892305615512556,6.569588446862367,0.1553,0.1061,0.002951429867048944
S2_bogra_gamma,Bogra,child,3.930902445026457,0.17489581030473605,20.425930288949353,0.3427,0.2733,0.0007874261447509338,0.24503524697031204,0.7059069475342344,0.6140127381135774,1.058369363804818,1.1114274095160634,0.6140082560888939,16.042191862718905,0.2477604320451232,33.266297294912235,0.3238,0.2459,0.0012824357603376153
S3_rangpur_lognormal,Rangpur,adult,1.4170967285402432,0.03959328065463121,3.4330555921194432,0.119,0.0754,0.0015396852711966125,3.8887567399771736,1.270725239161636,1.8641243208408864,1.1911911911911912,1.7097505668934239,1.8615019503371955,0.36440868465034437,0.031158018613648517,1.8416451916526837,0.0999,0.0441,0.0008271198807595723
S3_rangpur_lognormal,Rangpur,child,10.146692863751419,0.21297798483160063,18.023542944282934,0.2841,0.2022,0.0006943134927236903,5.071106900854589,1.1993588751417463,1.8738806233926226,0.9495320855614974,0.9670014347202295,1.8729279038269901,2.0008832513551402,0.17757652796493445,9.618298369322842,0.2992,0.2091,0.0003707102079610144
S4_child_bw_gamma,Dhaka,child,22.655237753259943,0.7007671985666211,119.2659074506587,0.475,0.4204,0.004596564631295254,0.9674932167827883,0.9784769923033605,0.9848262690237609,0.9968520461699895,0.9955008287946957,0.9847197069645678,23.416430586041272,0.716181580230105,121.10349937038607,0.4765,0.4223,0.00466789137943052
S4_child_bw_gamma,Chittagong,child,8.833984340999411,1.184896826245351,33.53504357799404,0.5331,0.3987,0.0012916760820579167,0.9523942337388831,0.9816952727841975,0.96605824477308,0.9918139534883722,0.98834903321765,0.9656817532760288,9.275554206496189,1.2069904573186454,34.71327299304937,0.5375,0.4034,0.001337579464120522
S4_child_bw_gamma,Rajshahi,child,3.3056919867246024,0.0011292915276934607,17.71418185353866,0.2023,0.1618,0.0006826282020898918,0.9639021091259072,1.0004873137105352,0.9759094247686643,0.9950811608460404,0.9877899877899878,0.9762167066062095,3.4294893178751256,0.0011287414764963141,18.151460990078807,0.2033,0.1638,0.0006992588812201647
S4_child_bw_gamma,Khulna,child,15.982074057711314,0.5098202126897005,81.27365470995768,0.4468,0.39,0.0031329460583170957,0.9548389409068408,0.9769208137852113,0.9639412962997679,0.9955436720142602,0.9946442234123948,0.9650826204306625,16.737978912477775,0.5218644187898233,84.31390482173417,0.4488,0.3921,0.0032462982878284936
