district,population,statistic,primary_value,outer_replicates,param_unc_median,param_unc_q025,param_unc_q975,interval_width_over_primary
Dhaka,adult,mean_HI,4.18838084460402,1000,3.813408066893446,1.968940301084721,6.101117396952532,0.9865810319497048
Dhaka,adult,P50_HI,0.1415041543734834,1000,0.14444446902768054,0.0060063550708258145,0.8160124405001865,5.724256570527575
Dhaka,adult,P95_HI,21.56542774620328,1000,19.395601489894137,10.204089625715499,31.21198887152794,0.9741471160715095
Dhaka,adult,P_HI_gt_1,0.3346,1000,0.3292,0.21459,0.47384999999999994,0.7748356246264194
Dhaka,adult,P_HI_gt_2,0.2684,1000,0.2625,0.16519750000000002,0.3778475,0.7922876304023844
Dhaka,adult,P95_ELCR,0.009683054255481306,1000,0.008691165881805098,0.004575895944420621,0.013983799736220513,0.9715843310982525
Dhaka,child,mean_HI,23.416430586041272,1000,21.278397714928236,11.001009525453624,34.049559422049505,0.9842896342338063
Dhaka,child,P50_HI,0.716181580230105,1000,0.7296014350743503,0.030555704367407212,4.288868555395061,5.945856426046984
Dhaka,child,P95_HI,121.10349937038607,1000,108.47181891055993,57.505421995494274,173.8165447916276,0.9604274310885466
Dhaka,child,P_HI_gt_1,0.4765,1000,0.47725,0.32225499999999996,0.6543399999999999,0.696925498426023
Dhaka,child,P_HI_gt_2,0.4223,1000,0.41985,0.278395,0.5851149999999999,0.7263083116268054
Dhaka,child,P95_ELCR,0.00466789137943052,1000,0.004181584364823989,0.002216646771169115,0.006700324746591181,0.9605360559973167
Chittagong,adult,mean_HI,1.8246615078488448,994,1.6909811774083368,0.42941064832208664,8.185601722904783,4.2507561217350025
Chittagong,adult,P50_HI,0.2297410929617673,994,0.2286265104042709,0.12986252095518258,0.45068408438113555,1.3964483205420415
Chittagong,adult,P95_HI,6.663347732213144,994,6.253787019186673,1.6353156947473915,24.765352180344017,3.4712335923543773
Chittagong,adult,P_HI_gt_1,0.2321,994,0.2283,0.09428750000000001,0.3671924999999999,1.1758078414476514
Chittagong,adult,P_HI_gt_2,0.1425,994,0.13824999999999998,0.0379125,0.2598175,1.5572280701754384
Chittagong,adult,P95_ELCR,0.0029942951442597484,994,0.0028072392363556386,0.0007347310678897917,0.011091092660914782,3.45869765473146
