run_id,district,population,N,replicate,metric,mean,sd,min,max,P5,P25,P50,P75,P90,P95,P99,P_gt_1,P_gt_1_mc_se,P_gt_1_wilson_lo,P_gt_1_wilson_hi,P_gt_2,P_gt_2_mc_se,P_gt_2_wilson_lo,P_gt_2_wilson_hi,P_gt_0.0001,P_gt_0.0001_mc_se,P_gt_0.0001_wilson_lo,P_gt_0.0001_wilson_hi
dhaka_adult_N10000_r0,Dhaka,adult,10000,0,HI,4.18838084460402,12.734512596136845,7.247289506987108e-23,262.92182790835403,2.5993476801018828e-08,0.0012757311723910663,0.1415041543734834,2.4307774838344582,11.027417472397358,21.56542774620328,59.74099941790855,0.3346,0.004718504424073374,0.3254169722612255,0.3439100543997942,0.2684,0.004431268892766496,0.25980501887542995,0.2771728491698674,,,,
dhaka_adult_N10000_r0,Dhaka,adult,10000,0,ELCR,0.001879907050527485,0.0057195365833112854,3.2499059946624335e-26,0.11818656573683123,1.1658767923574865e-11,5.725999994762827e-07,6.350536646781247e-05,0.0010903256054847887,0.004953239270905376,0.009683054255481306,0.026798529577266854,,,,,,,,,0.4602,0.004984134428363665,0.4504484229710939,0.46998214329921184
dhaka_adult_N10000_r0,Dhaka,adult,10000,0,ELCR_ED_AT,0.001879907050527485,0.0057195365833112854,3.2499059946624335e-26,0.11818656573683123,1.1658767923574865e-11,5.725999994762827e-07,6.350536646781247e-05,0.0010903256054847887,0.004953239270905376,0.009683054255481306,0.026798529577266854,,,,,,,,,0.4602,0.004984134428363665,0.4504484229710939,0.46998214329921184
dhaka_adult_N10000_r0,Dhaka,adult,10000,0,HQ_ing,4.177571223394412,12.710081296247301,7.222013321472076e-23,262.6368127485139,2.5908373163499705e-08,0.0012724444432806285,0.14112303659513886,2.4229457899661977,11.007198379789726,21.517898345514016,59.5522879494819,,,,,,,,,,,,
dhaka_adult_N10000_r0,Dhaka,adult,10000,0,HQ_dermal,0.010809621209608598,0.029871645358381962,2.527618551503246e-25,0.534820346478352,8.109315074722e-11,3.616085093435691e-06,0.0003840321185991574,0.006833642380907126,0.030517243396897566,0.058341781947862326,0.14298162707365816,,,,,,,,,,,,
dhaka_child_N10000_r0,Dhaka,child,10000,0,HI,23.416430586041272,72.30160297268648,2.111298667629644e-31,1438.559136580466,2.2759320676926616e-07,0.00614916425731896,0.716181580230105,12.506478363043538,60.80425607377486,121.10349937038607,345.0210438352252,0.4765,0.004994474446826213,0.46672190942264324,0.48629613850077835,0.4223,0.004939258142676894,0.4126508814935835,0.43200879185321955,,,,
dhaka_child_N10000_r0,Dhaka,child,10000,0,ELCR,0.0009021931391239963,0.0027862390680648682,8.128834958496958e-36,0.05545921331055552,8.766386181003412e-12,2.3675603850996652e-07,2.757311346536606e-05,0.00048163579836331004,0.0023410469105106797,0.00466789137943052,0.013298623657630971,,,,,,,,,0.3985,0.004895893687571249,0.3889449639224708,0.40813298774677653
dhaka_child_N10000_r0,Dhaka,child,10000,0,ELCR_ED_AT,0.01052558662311329,0.032506122460756785,9.483640784913117e-35,0.6470241552898143,1.0227450544503979e-10,2.762153782616276e-06,0.000321686323762604,0.005619084314238617,0.027312213955957933,0.054458732760022735,0.15515060933902802,,,,,,,,,0.5751,0.0049432781633244145,0.5653843320209166,0.5847579914238077
dhaka_child_N10000_r0,Dhaka,child,10000,0,HQ_ing,23.390192495807312,72.23582769057064,2.107475729980693e-31,1437.8314561995874,2.272766787667551e-07,0.0061381195169250575,0.7148584972502311,12.486854031641373,60.69380879101763,121.01940613338387,344.7791318645068,,,,,,,,,,,,
dhaka_child_N10000_r0,Dhaka,child,10000,0,HQ_dermal,0.02623809023396001,0.07767110621369246,3.822937648951003e-34,1.4600453893622147,2.909342389078329e-10,7.177132394620641e-06,0.000873990108688555,0.01550840189696551,0.07017679929027693,0.13841797551278542,0.38029020379366846,,,,,,,,,,,,
