family,weighted_cdf_sse,weighted_cdf_max_discrepancy,tail_max_rel_quantile_error,P(BW<=0),P(BW<1kg),E_inv_BW_per_kg,empirical_E_inv_BW_per_kg,empirical_P1_kg,fitted_P1_kg,empirical_P5_kg,fitted_P5_kg,empirical_P50_kg,fitted_P50_kg,empirical_P95_kg,fitted_P95_kg,empirical_P99_kg,fitted_P99_kg,role,ls_converged,pml_converged,pml_mu,pml_sigma,ls_pml_max_rel_param_diff
Gamma,0.00031513060315105357,0.031955579486737995,0.3579948775428415,0.0,5.115795664925018e-09,0.09894773273878024,0.10286331535530058,3.6,4.888781559154229,5.6,6.286058225578203,10.9,10.756436971228313,15.9,16.97203281448508,18.6,20.1056448078659,Phase 5 provisional,,,,,
TruncatedNormal,2.935337612080105e-05,0.009577511628806934,0.016981048958116213,0.0,0.0,0.10297232342846586,0.10286331535530058,3.6,3.575648220289427,5.6,5.607820830244039,10.9,10.865384818139344,15.9,16.169998678434048,18.6,18.369193719879917,selected,True,True,10.845306955679334,3.2540954157393838,0.0080549681515463
