population,n,sum_survey_weight,kish_effective_n,weighted_mean_kg,weighted_sd_kg,weighted_P1_kg,weighted_P5_kg,weighted_P25_kg,weighted_median_kg,weighted_P75_kg,weighted_P95_kg,weighted_P99_kg,min_kg,max_kg,unweighted_mean_kg,unweighted_sd_kg
adult,8013,111235428.56120682,3238.4938565374828,55.88612513420205,11.623376426788607,34.0,39.0,48.0,55.0,62.0,76.0,88.0,28.0,162.0,56.699301134699866,11.764475663176766
child,22576,22529.69785851161,16600.390735884335,10.868294953449016,3.221191930959114,3.6,5.6,8.6,10.9,13.0,15.9,18.6,1.6,31.5,10.874140680368534,3.1933466500567294
