population,n,distribution,ls_mu,ls_sigma,ls_converged,ls_message,ls_n_starts,weighted_cdf_sse,weighted_cdf_rmse,weighted_cdf_max_discrepancy,pml_mu,pml_sigma,pml_converged,pml_message,pml_neg_weighted_loglik,pml_weighted_cdf_sse,pml_weighted_cdf_max_discrepancy,ls_pml_max_rel_param_diff,empirical_P1_kg,fitted_P1_kg,empirical_P5_kg,fitted_P5_kg,empirical_P50_kg,fitted_P50_kg,empirical_P95_kg,fitted_P95_kg,empirical_P99_kg,fitted_P99_kg,tail_max_rel_quantile_error,prob_bw_nonpositive,survey_mass_outside_support,admissible,inadmissible_reason,ls_mu_log,ls_sigma_log,pml_mu_log,pml_sigma_log,ls_shape_k,ls_scale_theta,pml_shape_k,pml_scale_theta,ls_a_min,ls_m_mode,ls_b_max,pml_a_min,pml_m_mode,pml_b_max,sse_rank,max_discrepancy_rank,tail_error_rank,selected
adult,8013,Normal,55.081740789384384,10.913546233122515,True,`ftol` termination condition is satisfied.,1,0.00022807861757185563,0.015102271934111624,0.029534839848586514,55.88612513420205,11.623376426788607,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,31025.989940266743,0.0007555590325427499,0.05702389264350649,0.06106919087900593,34.01960067365008,29.693035711713396,39.332145183124,37.13055468493023,54.78438905261989,55.081740789384384,76.05313198245983,73.03292689383852,87.60610620614784,80.47044586705537,0.12717859340682477,2.2428527790901937e-07,0.0,True,,,,,,,,,,,,,,,,4,4,4,False
adult,8013,Lognormal,,,True,`ftol` termination condition is satisfied.,1,1.9580572368000613e-05,0.004424994052877429,0.018560715741560374,,,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,30666.917154451374,2.567252961358838e-05,0.021251770569207684,0.014094048990436293,34.01960067365008,34.35415384418486,39.332145183124,39.375353192736874,54.78438905261989,54.72913888320958,76.05313198245983,76.06988636358815,87.60610620614784,87.18825259044051,0.00983412985190928,0.0,0.0,True,,4.002396271123946,0.20017355869795117,4.002583179610305,0.2030351459923477,,,,,,,,,,,1,1,1,True
adult,8013,Gamma,,,True,`ftol` termination condition is satisfied.,1,4.330202023268688e-05,0.006580427055494717,0.01976664170196296,,,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,30718.023694559408,0.00011094190891450604,0.03218193636889066,0.044481099516872326,34.01960067365008,33.125219414683585,39.332145183124,38.7268743198317,54.78438905261989,54.84742668360906,76.05313198245983,74.92573888187387,87.60610620614784,84.47682506044085,0.03571989763297341,0.0,0.0,True,,,,,,25.27227339451028,2.1991986314532173,24.281685329999473,2.301575228225483,,,,,,,2,2,2,False
adult,8013,Triangular,,,True,`ftol` termination condition is satisfied.,9,6.944317479254267e-05,0.008333257153871029,0.026671909251842485,,,True,Optimization terminated successfully.,35072.758152459974,0.0675603775506225,0.4229575729002419,0.48888746299843466,34.01960067365008,35.429110691231216,39.332145183124,39.268964443491605,54.78438905261989,54.66867093660515,76.05313198245983,73.91504835268668,87.60610620614784,78.83538581325965,0.1001154003152431,0.0,0.026541066128156342,False,support excludes 2.6541% of survey mass,,,,,,,,,32.32260374973815,51.43476851982507,82.81602243692284,27.70991679406598,42.99999999999986,162.0308962146808,3,3,3,False
child,22576,Normal,10.867319746699996,3.2185493991602456,True,`ftol` termination condition is satisfied.,1,2.8452718265798263e-05,0.005334108947687351,0.009409772931372351,10.86829497455908,3.2211919122307946,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,58442.26519529878,2.8483268632197777e-05,0.009514873051993944,0.0008203525721380973,3.564207797582721,3.379854194468133,5.640724867750427,5.573277093968782,10.911715804153319,10.867319746699996,15.90095565321969,16.16136239943121,18.54660121081069,18.35478529893186,0.051723584477767585,0.00036711842005291844,0.0,False,P(BW<=0)=3.67e-04 >= 1e-04,,,,,,,,,,,,,,,1,1,1,False
child,22576,Lognormal,,,True,`ftol` termination condition is satisfied.,1,0.0005955719938450057,0.024404343749525527,0.04314981345627,,,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,59840.54998156831,0.0017836262618580354,0.06689445167699049,0.09685083532274118,3.564207797582721,5.3350685825049124,5.640724867750427,6.542307702747742,10.911715804153319,10.704194484059157,15.90095565321969,17.513664101191605,18.54660121081069,21.47672101691431,0.4968455503978208,0.0,0.0,True,,2.370635672508851,0.2993249377728779,2.33604623276118,0.3314235892360504,,,,,,,,,,,4,4,4,False
child,22576,Gamma,,,True,`ftol` termination condition is satisfied.,1,0.00031513060315105417,0.01775191829496334,0.031955579486737995,,,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,58922.341703679216,0.0008308585298067325,0.047763857462479686,0.11649049184802794,3.564207797582721,4.888781559154229,5.640724867750427,6.286058225578203,10.911715804153319,10.756436971228311,15.90095565321969,16.972032814485072,18.54660121081069,20.1056448078659,0.37163202506594784,0.0,0.0,True,,,,,,11.391854506302195,0.9725257182622645,10.2032705065372,1.0651775739797371,,,,,,,3,3,3,True
child,22576,Triangular,,,True,`ftol` termination condition is satisfied.,9,3.0752274505457807e-05,0.005545473334662949,0.014517756436836282,,,True,Optimization terminated successfully.,66165.30578749647,0.02913544917335642,0.3039487797507089,0.9877749752935447,3.564207797582721,4.2630738701630575,5.640724867750427,5.619303899761102,10.911715804153319,10.924329260689866,15.90095565321969,15.827979625748737,18.54660121081069,17.07846248931572,0.1960789359852459,0.0,0.01909477799163367,False,support excludes 1.9095% of survey mass,,,,,,,,,3.165860727936602,11.232434113221457,18.090124377116055,1.5926655518284123,8.400000000000173,31.50490504655331,2,2,2,False
