population,distribution,param_mu_log,param_sigma_log,scipy_scipy_dist,scipy_s,scipy_loc,scipy_scale,weighted_cdf_sse,weighted_cdf_max_discrepancy,n,status,rationale,param_shape_k,param_scale_theta,scipy_a
adult,Lognormal,4.002396271123946,0.20017355869795117,lognorm,0.20017355869795117,0.0,54.72913888320958,1.9580572368000613e-05,0.018560715741560374,8013,provisional - requires team review before freezing,lowest weighted CDF SSE among admissible candidates (1.958e-05); Triangular inadmissible: support excludes 2.6541% of survey mass; also lowest max CDF discrepancy; also best tail quantile agreement; runner-up Gamma SSE ratio 2.21; LS vs PML max relative parameter difference 1.41%,,,
child,Gamma,,,gamma,,0.0,0.9725257182622645,0.00031513060315105417,0.031955579486737995,22576,provisional - requires team review before freezing,lowest weighted CDF SSE among admissible candidates (3.151e-04); Normal had lower SSE but was rejected: P(BW<=0)=3.67e-04 >= 1e-04; Triangular inadmissible: support excludes 1.9095% of survey mass; also lowest max CDF discrepancy; also best tail quantile agreement; runner-up Lognormal SSE ratio 1.89; LS vs PML max relative parameter difference 11.65%,11.391854506302195,0.9725257182622645,11.391854506302195
